sanction_id,player,player_id,club,sanction_date,sanction_type,reason,suspension_matches,fine_euros
SAN-001,Bradley Ndombele,J0051,Olympique Lyonnais,2024-01-17,Suspension,Controversial social media post,2,
SAN-002,Randal Diaby,J0216,RC Strasbourg,2023-12-25,Suspension + Fine,unsportsmanlike conduct,1,25000
SAN-003,Kylian Blanc,J0163,RC Lens,2024-05-14,Suspension,Red card - last man foul,4,
SAN-004,Jeremy Kante,J0062,Olympique de Marseille,2024-01-17,Suspension + Fine,Spitting,4,15000
SAN-005,Hugo Laurent,J0088,AS Monaco,2023-12-04,Suspension + Fine,On-field brawl,2,1000
SAN-006,Adrien Rousseau,J0172,RC Lens,2023-12-28,Warning,Simulation,,
SAN-007,Jean-Philippe Osimhen,J0065,Olympique de Marseille,2024-06-15,Suspension + Fine,Controversial social media post,3,50000
SAN-008,Miguel Pereira,J0263,Montpellier HSC,2023-08-12,Suspension,Red card - last man foul,1,
SAN-009,Aurelien Ndombele,J0319,Stade Brestois,2024-03-23,Suspension + Fine,Repeated protesting,2,500
SAN-010,Bradley Kone,J0454,FC Metz,2024-02-22,Suspension,Red card - last man foul,1,
SAN-011,Loic Bamba,J0491,AS Saint-Etienne,2024-01-19,Warning,unsportsmanlike conduct,,
SAN-012,Lucas Moreau,J0326,Stade Brestois,2023-12-04,Suspension + Fine,Insulting the referee,2,1000
SAN-013,Hugo Garcia,J0140,Stade Rennais,2023-12-28,Suspension,Red card - last man foul,1,
SAN-014,Seko Ndombele,J0069,Olympique de Marseille,2023-11-10,Suspension + Fine,Repeated protesting,8,3000
SAN-015,Romain Simon,J0504,AS Saint-Etienne,2024-03-21,Suspension,unsportsmanlike conduct,3,
SAN-016,Habib Kante,J0411,FC Lorient,2024-06-06,Fine,Controversial social media post,,25000
SAN-017,Felipe Silva,J0475,FC Metz,2023-10-23,Fine,Accumulation of yellow cards,,2000
SAN-018,Ousmane Roux,J0452,FC Metz,2023-10-30,Warning,Late for anti-doping control,,
SAN-019,Florian Faure,J0132,Stade Rennais,2024-05-18,Fine,On-field brawl,,1000
SAN-020,Kevin Martin,J0013,Paris SG,2023-09-27,Suspended sentence,Late for anti-doping control,,
SAN-021,Steve Dembele,J0060,Olympique de Marseille,2023-09-21,Suspension + Fine,Accumulation of yellow cards,3,5000
SAN-022,Enzo Ndombele,J0004,Paris SG,2024-01-03,Fine,Late for anti-doping control,,500
SAN-023,Abdoulaye Bamba,J0038,Olympique Lyonnais,2024-01-26,Suspension,Accumulation of yellow cards,3,
SAN-024,Jean-Philippe Toure,J0289,Montpellier HSC,2023-10-05,Suspension,Unsportsmanlike conduct,3,
SAN-025,Miguel Fernandez,J0152,Stade Rennais,2023-09-11,Fine,Simulation,,10000
SAN-026,Pedro Alvarez,J0229,RC Strasbourg,2024-03-04,Suspension,On-field brawl,2,
SAN-027,Mohamed Camara,J0173,RC Lens,2023-11-21,Suspension,On-field brawl,2,
